name	description	comment
F775W_KRON_S_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 1.4 [unit: nJy]	form=E
F814W_KRON	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 2.5 [unit: nJy]	form=E
F814W_KRON_bkg	Background subtraction value for {BAND}_KRON with Kron parameter k = 2.5 [unit: nJy]	form=E
F814W_KRON_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression applied to common-PSF image using Kron parameter k = 2.5 [unit: nJy]	form=E
F814W_KRON_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 2.5 [unit: nJy]	form=E
F814W_KRON_S	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 1.4 [unit: nJy]	form=E
F814W_KRON_S_bkg	Background subtraction value for {BAND}_KRON_S with Kron parameter k = 1.4 [unit: nJy]	form=E
F814W_KRON_S_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression using Kron parameter k = 1.4 [unit: nJy]	form=E
F814W_KRON_S_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 1.4 [unit: nJy]	form=E
F850LP_KRON	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 2.5 [unit: nJy]	form=E
F850LP_KRON_bkg	Background subtraction value for {BAND}_KRON with Kron parameter k = 2.5 [unit: nJy]	form=E
F850LP_KRON_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression applied to common-PSF image using Kron parameter k = 2.5 [unit: nJy]	form=E
F850LP_KRON_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 2.5 [unit: nJy]	form=E
F850LP_KRON_S	Aperture-corrected, background-subtracted flux for filter {BAND} common-PSF image within the aperture with Kron parameter k = 1.4 [unit: nJy]	form=E
F850LP_KRON_S_bkg	Background subtraction value for {BAND}_KRON_S with Kron parameter k = 1.4 [unit: nJy]	form=E
F850LP_KRON_S_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression using Kron parameter k = 1.4 [unit: nJy]	form=E
F850LP_KRON_S_ei	Aperture-corrected flux uncertainty determined from common-PSF ERR image using Kron parameter k = 1.4 [unit: nJy]	form=E
